 1   1 /  RM 167.00
 2   1 /  RM 139.20
 3   3 /  RM 106.75
 3  78 /  RM  69.75
 5  39 /  RM  40.5
 5 109 /
 8   6 /  Clearwater RM 36.00 - PEKI Fixed Monitor
 8  29 /  Clearwater RM 12.20 - USGS Gage @ Spaulding
