# WMD-TDG: RRH.Elev-Forebay.Ave.~1Day.1Day.CBT-REV [ft]		
06-20-2005 23:00:00	705.74		/
06-21-2005 23:00:00	705.56		/
06-22-2005 23:00:00	705.52		/
06-23-2005 23:00:00	705.56		/
06-24-2005 23:00:00	705.63		/
06-25-2005 23:00:00	705.82		/
06-26-2005 23:00:00	705.34		/
06-27-2005 23:00:00	705.3		/
06-28-2005 23:00:00	706.07		/
06-29-2005 23:00:00	705.85		/
06-30-2005 23:00:00	706.07		/
07-01-2005 23:00:00	706.15		/
07-02-2005 23:00:00	705.85		/
07-03-2005 23:00:00	705.41		/
07-04-2005 23:00:00	704.92		/
07-05-2005 23:00:00	704.76		/
07-06-2005 23:00:00	705.95		/
07-07-2005 23:00:00	706.18		/
07-08-2005 23:00:00	705.77		/
07-09-2005 23:00:00	706.09		/
07-10-2005 23:00:00	705.76		/
07-11-2005 23:00:00	705.83		/
07-12-2005 23:00:00	705.7		/
07-13-2005 23:00:00	705.93		/
07-14-2005 23:00:00	706		/
07-15-2005 23:00:00	705.97		/
07-16-2005 23:00:00	706.03		/
07-17-2005 23:00:00	705.65		/
07-18-2005 23:00:00	705.23		/
07-19-2005 23:00:00	705.9		/
07-20-2005 23:00:00	706.16		/
07-21-2005 23:00:00	705.87		/
07-22-2005 23:00:00	705.62		/
07-23-2005 23:00:00	705.8		/
07-24-2005 23:00:00	705.71		/
07-25-2005 23:00:00	705.3		/
07-26-2005 23:00:00	705.83		/
07-27-2005 23:00:00	704.97		/
07-28-2005 23:00:00	705.72		/
07-29-2005 23:00:00	705.48		/
07-30-2005 23:00:00	705.77		/
07-31-2005 23:00:00	705.46		/
08-01-2005 23:00:00	705.29		/
08-02-2005 23:00:00	705.76		/
08-03-2005 23:00:00	705.91		/
08-04-2005 23:00:00	705.78		/
08-05-2005 23:00:00	705.9		/
08-06-2005 23:00:00	706.21		/
08-07-2005 23:00:00	705.85		/
08-08-2005 23:00:00	705.74		/
08-09-2005 23:00:00	706.14		/
08-10-2005 23:00:00	705.89		/
08-11-2005 23:00:00	705.58		/
08-12-2005 23:00:00	705.98		/
08-13-2005 23:00:00	705.75		/
08-14-2005 23:00:00	705.9		/
08-15-2005 23:00:00	705.79		/
08-16-2005 23:00:00	706.06		/
08-17-2005 23:00:00	706.11		/
08-18-2005 23:00:00	706		/
08-19-2005 23:00:00	706.06		/
