       1   88300    1390     100       5
       2   10000    1390     100       5
       3   98300    1390     100       5
       4     700    1390     100       5
       5   99000    1390     100       5
       6    4000    1390     100       5
       7  100000    1390     100       5
       8  100000    1390     100       5
       9  100000     970     100       5
      10  100000     970     100       5
      11  100000     970     100       5
      12    4000     970     100       5
      13  104000     970     100       5
      14    2000     970     100       5
      15  106000     970     100       5
      16  106000     970     100       5
      17  106000     770     100       5
      18    1000     770     100       5
      19  107000     770     100       5
      20     500     770     100       5
      21  107500     770     100       5
      22  107500     770     100       5
      23  107500     700     100       5
      24    4000     700     100       5
      25  111500     700     100       5
      26  111500     700     100       5
      27  111500     600     100       5
      28  111500     600     100       5
      29  111500     600     100       5
      30     250     600     100       5
      31  111750     600     100       5
      32  111750     600     100       5
      33  111750     490     100       5
      34    4000     490     100       5
      35  115750     490     100       5
      36   10000     490     100       5
      37  125750     490     100       5
